,Date,Open,High,Low,Close,Adjusted_Close,Volume,Dividends
82,1998-05-01,90.19,90.5,88.12,89.62,14.5979,8999000.0,0.0
81,1998-04-30,91.5,91.62,89.69,90.12,14.6793,13618400.0,0.0
80,1998-04-29,90.06,91.5,89.62,90.5,14.7412,12515400.0,0.0
79,1998-04-28,92.12,92.25,89.02,89.87,14.6386,14167000.0,0.0
78,1998-04-27,89.5,90.53,88.5,90.31,14.7103,14688000.0,0.0
77,1998-04-24,93.5,94.75,91.87,92.12,15.0051,12859000.0,0.0
76,1998-04-23,97.25,97.37,94.14,94.5,15.3928,16053800.0,0.0
75,1998-04-22,96.0,99.12,95.62,98.87,16.1046,20038500.0,0.0
74,1998-04-21,94.69,95.0,93.12,94.87,15.453,12984600.0,0.0
73,1998-04-20,92.37,95.0,92.19,94.62,15.4123,11383800.0,0.0
72,1998-04-17,91.5,92.25,90.31,92.12,15.0051,9350700.0,0.0
71,1998-04-16,90.37,92.06,90.19,91.69,14.9351,9923900.0,0.0
70,1998-04-15,89.25,91.37,88.87,91.37,14.8829,10124600.0,0.0
69,1998-04-14,88.69,89.56,87.5,88.44,14.4057,7119200.0,0.0
68,1998-04-13,88.81,89.0,86.75,88.62,14.435,8289100.0,0.0
67,1998-04-09,87.94,89.62,87.5,89.0,14.4969,8404800.0,0.0
66,1998-04-08,86.75,89.0,86.62,88.94,14.4871,9198300.0,0.0
65,1998-04-07,89.31,90.62,86.75,87.25,14.2118,15657700.0,0.0
64,1998-04-06,92.62,92.62,89.06,89.94,14.65,18558000.0,0.0
63,1998-04-03,92.0,93.06,91.5,93.0,15.1484,10246900.0,0.0
62,1998-04-02,90.69,91.94,89.87,91.31,14.8732,10353700.0,0.0
61,1998-04-01,89.81,90.62,88.5,90.37,14.72,9208900.0,0.0
60,1998-03-31,88.62,89.75,88.5,89.5,14.5783,9544300.0,0.0
59,1998-03-30,88.06,88.62,87.12,87.94,14.3242,6865800.0,0.0
58,1998-03-27,89.37,89.37,87.56,87.81,14.3031,9731000.0,0.0
57,1998-03-26,88.5,89.56,87.5,88.25,14.3747,11360300.0,0.0
56,1998-03-25,90.5,90.94,87.25,88.81,14.4659,31061200.0,0.0
55,1998-03-24,84.19,85.06,83.44,84.94,13.8356,8070400.0,0.0
54,1998-03-23,81.19,84.62,81.06,83.87,13.6613,13762500.0,0.0
53,1998-03-20,82.12,83.0,80.5,81.81,13.3257,14077500.0,0.0
52,1998-03-19,81.5,82.31,81.25,82.0,13.3567,7574800.0,0.0
51,1998-03-18,80.06,81.81,79.87,81.75,13.316,8471900.0,0.0
50,1998-03-17,81.69,81.69,79.69,80.37,13.0912,13460600.0,0.0
49,1998-03-16,82.44,82.75,81.37,82.0,13.3567,6994900.0,0.0
48,1998-03-13,82.44,83.0,81.56,82.37,13.417,8135600.0,0.0
47,1998-03-12,82.5,82.62,80.81,81.87,13.3355,11990500.0,0.0
46,1998-03-11,82.0,82.0,79.75,80.69,13.1433,9959700.0,0.0
45,1998-03-10,81.19,81.5,79.94,81.5,13.2752,11851600.0,0.0
44,1998-03-09,82.5,82.5,79.5,79.59,12.9641,13064000.0,0.0
43,1998-03-06,80.31,82.75,80.25,82.75,13.4789,12851200.0,0.0
42,1998-03-05,79.25,81.44,79.25,80.06,13.0407,23063900.0,0.0
41,1998-03-04,82.44,83.81,81.56,82.31,13.4072,17878400.0,0.0
40,1998-03-03,82.62,84.56,82.56,84.5,13.7639,12688400.0,0.0
39,1998-03-02,85.87,85.87,83.06,83.31,13.5701,12523400.0,0.0
38,1998-02-27,85.56,86.0,84.56,84.75,13.8046,11883100.0,0.0
37,1998-02-26,85.5,85.69,84.44,85.5,13.9268,15347000.0,0.0
36,1998-02-25,83.44,85.0,83.06,84.94,13.8356,23736100.0,0.0
35,1998-02-24,83.37,84.94,81.87,82.12,13.3762,29575500.0,0.0
34,1998-02-23,80.94,81.69,79.37,81.62,13.2948,15100450.0,0.0
33,1998-02-20,155.5,155.75,152.88,155.13,12.6343,10761500.0,0.0
32,1998-02-19,155.5,156.06,154.25,154.88,12.6139,9221700.0,0.0
31,1998-02-18,154.63,156.0,153.75,154.63,12.5936,9576100.0,0.0
30,1998-02-17,158.5,158.5,153.88,154.38,12.5732,10709200.0,0.0
29,1998-02-13,158.63,158.75,157.38,157.5,12.8273,5275400.0,0.0
28,1998-02-12,158.06,158.94,156.44,158.75,12.9291,9582300.0,0.0
27,1998-02-11,159.38,160.06,157.06,158.94,12.9446,9557500.0,0.0
26,1998-02-10,157.25,159.5,156.75,159.25,12.9698,6012400.0,0.0
25,1998-02-09,158.75,158.88,155.63,157.19,12.8021,6835200.0,0.0
24,1998-02-06,155.38,158.25,155.13,158.13,12.8786,6258800.0,0.0
23,1998-02-05,158.13,158.75,154.75,155.44,12.6595,8376800.0,0.0
22,1998-02-04,155.88,158.0,155.06,156.81,12.7711,7742600.0,0.0
21,1998-02-03,155.13,156.13,153.81,155.88,12.6954,7671800.0,0.0
20,1998-02-02,151.75,155.13,150.5,154.88,12.6139,12299700.0,0.0
19,1998-01-30,148.63,150.0,147.63,149.19,12.1505,6258900.0,0.0
18,1998-01-29,148.94,150.13,147.5,148.25,12.074,9196400.0,0.0
17,1998-01-28,146.25,149.5,145.5,149.0,12.135,9923400.0,0.0
16,1998-01-27,142.38,145.88,141.56,145.19,11.8247,12192600.0,0.0
15,1998-01-26,139.88,141.88,138.45,141.75,11.5446,9284700.0,0.0
14,1998-01-23,138.75,139.44,136.7,138.25,11.2595,7914000.0,0.0
13,1998-01-22,135.56,139.88,135.31,138.63,11.2905,19892400.0,0.0
12,1998-01-21,137.25,138.44,135.63,137.0,11.1577,10695900.0,0.0
11,1998-01-20,134.13,138.0,134.0,137.81,11.2237,8119500.0,0.0
10,1998-01-16,132.38,135.38,132.31,135.25,11.0152,9117900.0,0.0
9,1998-01-15,130.38,133.0,129.88,132.31,10.7758,6327800.0,0.0
8,1998-01-14,132.13,132.5,129.25,131.13,10.6796,6846800.0,0.0
7,1998-01-13,129.5,132.25,128.13,132.13,10.7611,8368200.0,0.0
6,1998-01-12,124.62,130.0,124.37,129.5,10.5469,9799200.0,0.0
5,1998-01-09,130.06,131.5,125.87,127.0,10.3433,10941800.0,0.0
4,1998-01-08,128.63,132.13,127.5,130.5,10.6283,9702400.0,0.0
3,1998-01-07,129.88,131.19,127.5,129.56,10.5518,7686600.0,0.0
2,1998-01-06,129.75,133.0,129.25,131.13,10.6796,8479300.0,0.0
1,1998-01-05,131.25,133.63,127.87,130.38,10.6186,10047200.0,0.0
0,1998-01-02,129.63,131.5,129.5,131.13,10.6796,4968500.0,0.0
