Created on 01-28-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-09-23 06-PM,BTCUSD,6682.93,6696.99,6670.01,6696.99,104.91,701381.08
2018-09-23 05-PM,BTCUSD,6690.08,6696.59,6679.1,6682.93,124.44,832298.42
2018-09-23 04-PM,BTCUSD,6683.51,6699.05,6660.05,6690.08,157.12,1048932.01
2018-09-23 03-PM,BTCUSD,6687.99,6698,6664.45,6683.51,187.56,1253381.98
2018-09-23 02-PM,BTCUSD,6729.32,6738.52,6663.01,6687.99,330.8,2216634.72
2018-09-23 01-PM,BTCUSD,6726,6732.13,6718,6729.32,91.12,612686.97
2018-09-23 12-PM,BTCUSD,6737.38,6741.92,6715.71,6726,84.91,571227.11
2018-09-23 11-AM,BTCUSD,6749.01,6756,6735.29,6737.38,98.81,666745.95
2018-09-23 10-AM,BTCUSD,6756.99,6757,6740,6749.01,50.68,341898.64
2018-09-23 09-AM,BTCUSD,6722.17,6777,6722,6756.99,198.44,1338758.55
2018-09-23 08-AM,BTCUSD,6704.01,6726.18,6704.01,6722.17,56.32,378334.45
2018-09-23 07-AM,BTCUSD,6694.08,6717.48,6693.01,6704.01,45.96,308339.37
2018-09-23 06-AM,BTCUSD,6711.01,6715.86,6694.08,6694.08,117.87,790701.62
2018-09-23 05-AM,BTCUSD,6720.54,6720.55,6711,6711.01,107.86,724441.34
2018-09-23 04-AM,BTCUSD,6700.17,6725,6700.16,6720.54,121.87,818587.46
2018-09-23 03-AM,BTCUSD,6691,6700.21,6690.9,6700.17,95.11,636994.26
2018-09-23 02-AM,BTCUSD,6686,6699.99,6683.8,6691,107.28,718010.34
2018-09-23 01-AM,BTCUSD,6700.2,6700.2,6679.95,6686,169.33,1133373.94
2018-09-23 12-AM,BTCUSD,6707.33,6711,6696.2,6700.2,106.53,714173.16
2018-09-22 11-PM,BTCUSD,6702.12,6717.4,6685.74,6707.33,147.03,984904.79
2018-09-22 10-PM,BTCUSD,6689.97,6704.78,6673.91,6702.12,176.33,1180163.25
2018-09-22 09-PM,BTCUSD,6712.59,6713.01,6683.63,6689.97,184.85,1237826.31
2018-09-22 08-PM,BTCUSD,6717,6719.99,6708,6712.59,110.0,738833.23
2018-09-22 07-PM,BTCUSD,6730.45,6734.72,6710,6717,140.96,947325.5
2018-09-22 06-PM,BTCUSD,6678.41,6745.97,6640.2,6730.45,510.67,3423785.58
2018-09-22 05-PM,BTCUSD,6662,6681,6661,6678.41,140.87,939924.88
2018-09-22 04-PM,BTCUSD,6678.01,6680.5,6660.01,6662,164.75,1098979.09
2018-09-22 03-PM,BTCUSD,6664.01,6680,6651,6678.01,209.44,1395399.54
2018-09-22 02-PM,BTCUSD,6684.8,6685.37,6651.58,6664.01,200.39,1336464.5
2018-09-22 01-PM,BTCUSD,6677,6687,6663.01,6684.8,143.14,955657.22
2018-09-22 12-PM,BTCUSD,6655.08,6698,6655.08,6677,112.81,753590.74
2018-09-22 11-AM,BTCUSD,6685,6694.5,6655.08,6655.08,113.86,759902.71
2018-09-22 10-AM,BTCUSD,6683.99,6708.14,6682.01,6685,109.33,731838.41
2018-09-22 09-AM,BTCUSD,6646,6686,6638,6683.99,87.76,585329.66
2018-09-22 08-AM,BTCUSD,6718.01,6718.01,6628.01,6646,356.93,2378733.03
2018-09-22 07-AM,BTCUSD,6723,6723.77,6708.36,6718.01,57.57,386607.92
2018-09-22 06-AM,BTCUSD,6737,6737.01,6700.01,6723,148.21,995682.22
2018-09-22 05-AM,BTCUSD,6740,6742.55,6727.07,6737,115.31,776823.6
2018-09-22 04-AM,BTCUSD,6733.73,6754.49,6732.73,6740,141.67,955312.76
2018-09-22 03-AM,BTCUSD,6735,6749.54,6713.72,6733.73,223.44,1503972.96
2018-09-22 02-AM,BTCUSD,6751.83,6765,6734.99,6735,300.78,2031072.28
2018-09-22 01-AM,BTCUSD,6799.8,6800,6745.24,6751.83,396.34,2683554.19
2018-09-22 12-AM,BTCUSD,6750,6823,6749.99,6799.8,821.81,5581608.49
2018-09-21 11-PM,BTCUSD,6728.99,6750.4,6728,6750,255.75,1723613.6
2018-09-21 10-PM,BTCUSD,6718.89,6733.62,6712.82,6728.99,264.75,1779930.95
2018-09-21 09-PM,BTCUSD,6710,6749,6695,6718.89,387.33,2603205.87
2018-09-21 08-PM,BTCUSD,6753.61,6773.41,6710,6710,603.11,4070742.73
2018-09-21 07-PM,BTCUSD,6734,6777.1,6725.69,6753.61,676.4,4568351.42
2018-09-21 06-PM,BTCUSD,6697.65,6743.65,6690.01,6734,417.02,2800548.72
2018-09-21 05-PM,BTCUSD,6715.8,6715.8,6696,6697.65,390.78,2620348.64
