model, step, date, cash, portfolio, reward,asset0_price,asset1_price,asset0_qty,asset1_qty
ppo2, 91,1998-05-14T00:00:00.000000000,6922.485332787858,9617.466337231697,55.511515666617925,30.06, 88.94,4.820925299078226, 28.671733640134335,
ppo2, 92,1998-05-15T00:00:00.000000000,6887.103292512523,9629.932819343881,12.466482112184167,29.56, 89.44,4.309455517679453, 29.242419742047787,
ppo2, 93,1998-05-18T00:00:00.000000000,6839.033129708397,9524.748291562053,-105.18452778182836,28.5, 86.06,5.000937286764383, 29.551341496407986,
ppo2, 94,1998-05-19T00:00:00.000000000,6790.777950394975,9542.63764630329,17.889354741237184,29.37, 86.5,5.400273356586695, 29.979811184108257,
ppo2, 95,1998-05-20T00:00:00.000000000,6774.753447403537,9521.306967927667,-21.330678375623393,29.56, 85.75,6.000896189361811, 29.961131535470486,
ppo2, 96,1998-05-21T00:00:00.000000000,6653.956522956716,9535.277382950897,13.970415023230089,28.87, 86.37,7.481726977974176, 30.859365545213223,
ppo2, 97,1998-05-22T00:00:00.000000000,6574.626318873989,9503.279853432516,-31.99752951838127,27.87, 85.56,5.802929613739252, 32.33901222795248,
ppo2, 98,1998-05-26T00:00:00.000000000,6521.31968817197,9433.051802280808,-70.2280511517074,26.69, 83.62,4.770633909851313, 33.298300586640835,
ppo2, 99,1998-05-27T00:00:00.000000000,6639.303836874591,9510.629226590434,77.57742430962571,26.75, 86.0,2.7706339098513126, 32.52570851892233,
ppo2, 100,1998-05-28T00:00:00.000000000,6655.464472632782,9522.685644449444,12.056417859010253,27.44, 86.31,2.9727383740246296, 32.2749302610755,
ppo2, 101,1998-05-29T00:00:00.000000000,6720.755454288202,9473.385719188977,-49.29992526046772,26.62, 84.81,1.7620352394878864, 31.903370909392834,
ppo2, 102,1998-06-01T00:00:00.000000000,6757.592010083871,9439.348186413088,-34.037532775888394,26.25, 83.75,2.523896623402834, 31.229897193610668,
ppo2, 103,1998-06-02T00:00:00.000000000,6813.666014704185,9494.44384729598,55.095660882891025,26.87, 85.5,3.2263546474277973, 30.340183429419994,
ppo2, 104,1998-06-03T00:00:00.000000000,6765.465957237708,9455.848991510236,-38.594855785742766,26.31, 84.31,3.293144825845957, 30.88293670862913,
ppo2, 105,1998-06-04T00:00:00.000000000,6654.860138809907,9513.88877262246,58.039781112223864,26.81, 86.06,2.1598833836615086, 32.54847966879606,
ppo2, 106,1998-06-05T00:00:00.000000000,6673.327963385212,9520.161481329018,6.272708706557751,26.87, 86.25,1.7612271346151829, 32.45807936042547,
ppo2, 107,1998-06-08T00:00:00.000000000,6602.2715279241675,9502.627216292063,-17.53426503695482,27.25, 85.69,2.5445925630629063, 33.03787537664175,
ppo2, 108,1998-06-09T00:00:00.000000000,6616.404161395656,9551.336408964211,48.709192672147765,28.25, 87.06,4.544592563062906, 32.23693438619375,
ppo2, 109,1998-06-10T00:00:00.000000000,6582.68775170468,9516.108837910147,-35.227571054063446,28.06, 86.0,5.957745734602213, 32.16565977782011,
ppo2, 110,1998-06-11T00:00:00.000000000,6584.676143192874,9492.433838762829,-23.674999147318886,27.81, 85.31,6.247716877609491, 32.04792743176222,
ppo2, 111,1998-06-12T00:00:00.000000000,6474.243702535258,9509.149357811362,16.71551904853368,28.12, 85.75,6.896505210548639, 33.130914621055126,
ppo2, 112,1998-06-15T00:00:00.000000000,6383.789745891915,9510.902882728578,1.7535249172160547,27.5, 85.94,7.5793922282755375, 33.96183209866285,
ppo2, 113,1998-06-16T00:00:00.000000000,6218.930742116795,9654.879829180241,143.97694645166303,28.0, 89.87,8.664030943065882, 35.5330613180995,
ppo2, 114,1998-06-17T00:00:00.000000000,6153.029241861926,9699.003008484171,44.123179303929646,28.12, 91.06,8.957031313329935, 36.17507188767195,
ppo2, 115,1998-06-18T00:00:00.000000000,6192.275332257376,9696.641821412259,-2.3611870719123544,27.31, 91.19,8.666165802627802, 35.83390175551176,
ppo2, 116,1998-06-19T00:00:00.000000000,6271.666583662258,9818.337300785706,121.6954793734476,27.06, 94.69,7.518024776130915, 35.30713873356581,
